indus,nox,rm,tax,ptratio,lstat
5.19,0.515,5.968,224.0,20.2,9.29
5.19,0.515,5.895,224.0,20.2,10.56
3.44,0.437,6.556,398.0,15.2,4.56
18.1,0.7,5.036,666.0,20.2,25.68
10.81,0.413,5.961,305.0,19.2,9.88
13.89,0.55,5.951,276.0,16.4,17.92
19.58,0.605,8.375,403.0,14.7,3.32
3.97,0.647,7.333,264.0,13.0,7.79
8.14,0.538,6.047,307.0,21.0,17.28
1.69,0.411,5.884,411.0,18.3,7.79
3.97,0.647,7.52,264.0,13.0,7.26
18.1,0.74,6.152,666.0,20.2,26.45
18.1,0.671,6.38,666.0,20.2,23.69
18.1,0.631,6.216,666.0,20.2,9.53
4.05,0.51,6.315,296.0,16.6,6.29
18.1,0.713,6.655,666.0,20.2,17.73
18.1,0.671,6.223,666.0,20.2,21.78
9.69,0.585,5.67,391.0,19.2,17.6
18.1,0.532,6.75,666.0,20.2,7.74
19.58,0.605,5.875,403.0,14.7,14.43
1.76,0.385,6.23,241.0,18.2,12.93
10.59,0.489,5.344,277.0,18.6,23.09
21.89,0.624,6.454,437.0,21.2,14.59
10.59,0.489,5.404,277.0,18.6,23.98
18.1,0.713,6.301,666.0,20.2,16.23
6.41,0.447,6.758,254.0,17.6,3.53
11.93,0.573,6.794,273.0,21.0,6.48
2.24,0.4,7.041,358.0,14.8,4.74
9.69,0.585,5.569,391.0,19.2,15.1
5.13,0.453,6.456,284.0,19.7,6.73
19.58,0.605,6.066,403.0,14.7,6.43
6.2,0.504,8.04,307.0,17.4,3.13
3.44,0.437,6.951,398.0,15.2,5.1
21.89,0.624,6.458,437.0,21.2,12.6
27.74,0.609,5.093,711.0,20.1,29.68
12.83,0.437,6.279,398.0,18.7,11.97
18.1,0.631,7.016,666.0,20.2,2.96
5.13,0.453,5.966,284.0,19.7,14.44
6.96,0.464,5.92,223.0,18.6,13.65
6.2,0.504,8.266,307.0,17.4,4.14
18.1,0.668,4.138,666.0,20.2,37.97
8.56,0.52,6.474,384.0,20.9,12.27
4.49,0.449,6.015,247.0,18.5,12.86
7.07,0.469,6.421,242.0,17.8,9.14
4.95,0.411,6.861,245.0,19.2,3.33
13.92,0.437,6.127,289.0,16.0,8.58
2.68,0.4161,7.853,224.0,14.7,3.81
2.89,0.445,6.625,276.0,18.0,6.65
18.1,0.583,5.905,666.0,20.2,11.45
18.1,0.655,6.209,666.0,20.2,13.22
1.22,0.403,7.249,226.0,17.9,4.81
18.1,0.713,6.436,666.0,20.2,16.22
2.95,0.428,6.595,252.0,18.3,4.32
9.69,0.585,6.019,391.0,19.2,12.92
19.58,0.605,6.25,403.0,14.7,5.5
7.87,0.524,6.172,311.0,15.2,19.15
9.9,0.544,6.023,304.0,18.4,11.72
18.1,0.668,4.906,666.0,20.2,34.77
10.59,0.489,6.064,277.0,18.6,14.66
18.1,0.671,7.313,666.0,20.2,13.44
8.14,0.538,6.674,307.0,21.0,11.98
8.56,0.52,6.137,384.0,20.9,13.44
5.86,0.431,6.957,330.0,19.1,3.53
18.1,0.693,5.887,666.0,20.2,16.35
9.9,0.544,5.705,304.0,18.4,11.5
8.14,0.538,5.456,307.0,21.0,11.69
5.86,0.431,6.108,330.0,19.1,9.16
10.01,0.547,6.715,432.0,17.8,10.16
21.89,0.624,5.757,437.0,21.2,17.31
21.89,0.624,6.335,437.0,21.2,16.96
19.58,0.605,5.877,403.0,14.7,12.14
3.37,0.398,6.29,337.0,16.1,4.67
19.58,0.605,7.929,403.0,14.7,3.7
18.1,0.713,5.936,666.0,20.2,16.94
5.86,0.431,5.605,330.0,19.1,18.46
10.59,0.489,6.326,277.0,18.6,10.97
2.97,0.4,7.088,285.0,15.3,7.85
18.1,0.597,4.628,666.0,20.2,34.37
18.1,0.713,6.728,666.0,20.2,18.71
3.64,0.392,5.876,315.0,16.4,9.25
25.65,0.581,6.004,188.0,19.1,14.27
4.95,0.411,6.63,245.0,19.2,4.7
8.56,0.52,6.781,384.0,20.9,7.67
18.1,0.693,6.343,666.0,20.2,20.32
3.44,0.437,6.739,398.0,15.2,4.69
6.2,0.504,7.163,307.0,17.4,6.36
5.19,0.515,6.316,224.0,20.2,5.68
5.64,0.439,6.115,243.0,16.8,9.43
5.86,0.431,6.433,330.0,19.1,9.52
18.1,0.679,5.896,666.0,20.2,24.39
2.18,0.472,6.849,222.0,18.4,7.53
18.1,0.7,5.277,666.0,20.2,30.81
18.1,0.713,6.317,666.0,20.2,13.99
18.1,0.713,6.208,666.0,20.2,15.17
18.1,0.58,6.437,666.0,20.2,14.36
8.14,0.538,5.57,307.0,21.0,21.02
6.06,0.4379,6.031,304.0,16.9,7.83
18.1,0.597,6.852,666.0,20.2,19.78
2.89,0.445,6.163,276.0,18.0,11.34
8.14,0.538,5.924,307.0,21.0,16.3
2.46,0.488,6.153,193.0,17.8,13.15
27.74,0.609,5.454,711.0,20.1,18.06
